,Title,Price,NumberReview,Review,url
48,"nuLOOM Delores Persian Area Rug, 4' x 6', Dark Grey  ",90.83,56,3.9 out of 5 stars,https://www.amazon.ca/nuLOOM-Delores-Persian-Area-Dark/dp/B083BSD8H5/ref=sr_1_49?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-49
49,Elegant Sterling Silver Persian Faravahar Pendant Necklace  ,48.99,1,3.0 out of 5 stars,https://www.amazon.ca/Elegant-Sterling-Persian-Faravahar-Necklace/dp/B07HS3L356/ref=sr_1_50?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-50
50,"Superior Elegant Lille Collection Area Rug, 8mm Pile Height with Jute Backing, Beautiful Chic Bordered Rug Design, Anti-Static, Water-Repellent Rugs - Brown, 4' x 6' Rug  ",112.63,315,4.3 out of 5 stars,https://www.amazon.ca/Superior-Collection-Beautiful-Anti-Static-Water-Repellent/dp/B0745HGLZJ/ref=sr_1_51?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-51
51,Persian (Descriptive Grammars)  ,81.95,Golabi,5.0 out of 5 stars,https://www.amazon.ca/Persian-Descriptive-Grammars-Shahrzad-Mahootian-ebook/dp/B093V55QFC/ref=sr_1_52?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-52
52,"JONATHAN Y JMDP101 Modern Persian Vintage Moroccan Traditional Area Rug Bedroom Living Room Indoor Decor, 2 X 10, Light Gray  ",83.14,,,https://www.amazon.ca/JONATHAN-JMDP101-Persian-Moroccan-Traditional/dp/B09FYBD65D/ref=sr_1_53?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-53
53,DECOMALL FINEEN Door Mat 2'x3' Throw Rugs for Entryway Entrance Persian Medallion Carpet Orange Blue Multi  ,53.00,7,4.7 out of 5 stars,https://www.amazon.ca/DECOMALL-Entryway-Entrance-Persian-Medallion/dp/B08HMR77H2/ref=sr_1_54?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-54
54,"nuLOOM Elenor Persian Floral Area Rug, 4' 1"" x 6', Multi  ",161.30,14,4.2 out of 5 stars,https://www.amazon.ca/nuLOOM-Persian-Floral-Elenor-Multicolor/dp/B06XDQ4D3H/ref=sr_1_55?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-55
55,"Loloi II DN-04 Dante Collection Distressed/Vintage Persian Area Rug, 6'-7"" x 9'-2"", Multi/Stone  ",228.91,1,1.0 out of 5 stars,https://www.amazon.ca/Loloi-DN-04-Collection-Distressed-Vintage/dp/B07R4WLL1F/ref=sr_1_56?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-56
56,"eCarpetGallery Indoor Outdoor Sisal Area Rug, Silver-Black, 7'10"" x 10'2"", Sisal Burburry, 315430  ",161.97,32,4.6 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0337117KHZHQPKXJEG0&url=%2FeCarpetGallery-Outdoor-Silver-Black-Burburry-315430%2Fdp%2FB081J3T1NZ%2Fref%3Dsr_1_57_sspa%3Fcrid%3D2ODRV04KOTK3K%26keywords%3Dpersian%26qid%3D1637448005%26sprefix%3Dpersian%252Caps%252C148%26sr%3D8-57-spons%26psc%3D1&qualifier=1637448005&id=4647807793598547&widgetName=sp_btf
57,"AIVIA Boho Throw Blanket, Colorful Chenille Woven Bohemian Chair Recliner Furniture Cover Aztec Hippie Throws Sofa Blankets (60"" x 75"", Red Green Navy Yellow)  ",56.99,433,4.7 out of 5 stars,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0623604106XW6N0TKQEG&url=%2FChenille-Lightweight-Protector-Armchair-Featured%2Fdp%2FB08BLRQ194%2Fref%3Dsr_1_58_sspa%3Fcrid%3D2ODRV04KOTK3K%26keywords%3Dpersian%26qid%3D1637448005%26sprefix%3Dpersian%252Caps%252C148%26sr%3D8-58-spons%26psc%3D1&qualifier=1637448005&id=4647807793598547&widgetName=sp_btf
